ebird_species_code,species_num,scientific_name,japanese_name,ebird_sciname,ebird_common_name,order,family,ebird_common_name_freq,frequency_annual_mean,frequency_max,n_periods_detected,residence_status,xc_total,xc_japan,inat_total,inat_japan,inat_api_total,inat_api_japan,ml_total,ml_japan,recordings_total,recordings_japan,recordings_downloadable,priority_tier,priority_score,ml_available,ml_japan_available,recordings_with_ml
brebul1,456,Hypsipetes amaurotis,ヒヨドリ,Hypsipetes amaurotis,Brown-eared Bulbul,PASSERIFORMES,PYCNONOTIDAE,Brown-eared Bulbul,0.5111802770833331,0.6408625,48.0,resident,163.0,90.0,34.0,31.0,480.0,464.0,661.0,459.0,1338.0,1044.0,677.0,P3,0.04920864714043932,661.0,459.0,1338.0
spbduc,32,Anas zonorhyncha,カルガモ,Anas zonorhyncha,Eastern Spot-billed Duck,ANSERIFORMES,ANATIDAE,Eastern Spot-billed Duck,0.3241578812500001,0.3973435,48.0,resident,36.0,6.0,1.0,1.0,13.0,10.0,202.0,30.0,252.0,47.0,50.0,P3,0.040577128020429655,202.0,30.0,252.0
ortdov,89,Streptopelia orientalis,キジバト,Streptopelia orientalis,Oriental Turtle-Dove,COLUMBIFORMES,COLUMBIDAE,Oriental Turtle-Dove,0.33818809375,0.4191287,48.0,resident,50.0,10.0,1.0,1.0,94.0,73.0,290.0,69.0,435.0,153.0,145.0,P3,0.03855537818587321,290.0,69.0,435.0
labcro1,436,Corvus macrorhynchos,ハシブトガラス,Corvus macrorhynchos,Large-billed Crow,PASSERIFORMES,CORVIDAE,Large-billed Crow,0.4204953458333333,0.4688084,48.0,resident,408.0,77.0,38.0,5.0,273.0,77.0,2013.0,227.0,2732.0,386.0,719.0,P3,0.036831286953856075,2013.0,227.0,2732.0
eutspa,575,Passer montanus,スズメ,Passer montanus,Eurasian Tree Sparrow,PASSERIFORMES,PASSERIDAE,Eurasian Tree Sparrow,0.4390073104166666,0.5340512,48.0,resident,2796.0,15.0,124.0,3.0,1109.0,84.0,2030.0,148.0,6059.0,250.0,4029.0,P3,0.03493795679004811,2030.0,148.0,6059.0
whcsta1,507,Spodiopsar cineraceus,ムクドリ,Spodiopsar cineraceus,White-cheeked Starling,PASSERIFORMES,STURNIDAE,White-cheeked Starling,0.2557513145833333,0.364087,48.0,resident,63.0,11.0,5.0,5.0,44.0,44.0,125.0,88.0,237.0,148.0,112.0,P3,0.032370032402646784,125.0,88.0,237.0
grecor,315,Phalacrocorax carbo,カワウ,Phalacrocorax carbo,Great Cormorant,SULIFORMES,PHALACROCORACIDAE,Great Cormorant,0.2743359541666666,0.3530565,48.0,resident,296.0,1.0,6.0,0.0,33.0,1.0,286.0,6.0,621.0,8.0,335.0,P3,0.029552229143364837,286.0,6.0,621.0
cintit13,447,Parus cinereus,シジュウカラ,Parus cinereus,Asian Tit,PASSERIFORMES,PARIDAE,Asian Tit,0.332087725,0.3970279,48.0,resident,163.0,0.0,0.0,0.0,346.0,204.0,2206.0,579.0,2715.0,783.0,509.0,P3,0.029110587358711904,2206.0,579.0,2715.0
carcro1,435,Corvus corone,ハシボソガラス,Corvus corone,Carrion Crow,PASSERIFORMES,CORVIDAE,Carrion Crow,0.3382326020833334,0.3670153,48.0,resident,2111.0,5.0,272.0,0.0,2428.0,9.0,1629.0,82.0,6440.0,96.0,4811.0,P3,0.026730796761230004,1629.0,82.0,6440.0
graher1,333,Ardea cinerea,アオサギ,Ardea cinerea,Gray Heron,PELECANIFORMES,ARDEIDAE,Gray Heron,0.3086966166666666,0.3910774,48.0,resident,2066.0,1.0,83.0,2.0,435.0,8.0,1182.0,17.0,3766.0,28.0,2584.0,P3,0.025985475262924614,1182.0,17.0,3766.0
whiwag,585,Motacilla alba,ハクセキレイ,Motacilla alba,White Wagtail,PASSERIFORMES,MOTACILLIDAE,White Wagtail,0.3175390270833333,0.4382995,48.0,resident,1902.0,26.0,160.0,3.0,1045.0,13.0,1864.0,89.0,4971.0,131.0,3107.0,P3,0.025858436027475253,1864.0,89.0,4971.0
rocpig,11,Columba livia,カワラバト（ドバト）,Columba livia,Rock Pigeon,COLUMBIFORMES,COLUMBIDAE,Rock Pigeon,0.2621471625,0.3048121,48.0,resident,285.0,0.0,82.0,1.0,516.0,5.0,1204.0,5.0,2087.0,11.0,883.0,P3,0.023769765800587563,1204.0,5.0,2087.0
origre,608,Chloris sinica,カワラヒワ,Chloris sinica,Oriental Greenfinch,PASSERIFORMES,FRINGILLIDAE,Oriental Greenfinch,0.1929800979166667,0.2914622,48.0,resident,117.0,21.0,1.0,0.0,60.0,37.0,306.0,161.0,484.0,219.0,178.0,P3,0.021622874187967465,306.0,161.0,484.0
pygwoo1,390,Yungipicus kizuki,コゲラ,Yungipicus kizuki,Japanese Pygmy Woodpecker,PICIFORMES,PICIDAE,Japanese Pygmy Woodpecker,0.16300080625,0.2080471,48.0,resident,64.0,34.0,1.0,1.0,20.0,19.0,136.0,133.0,221.0,187.0,85.0,P3,0.02089512855454859,136.0,133.0,221.0
warwhe1,501,Zosterops japonicus,メジロ,Zosterops japonicus,Warbling White-eye,PASSERIFORMES,ZOSTEROPIDAE,Warbling White-eye,0.2396650166666667,0.3382242,48.0,resident,316.0,96.0,20.0,5.0,452.0,150.0,2562.0,590.0,3350.0,841.0,788.0,P3,0.020465287170745115,2562.0,590.0,3350.0
blakit1,359,Milvus migrans,トビ,Milvus migrans,Black Kite,ACCIPITRIFORMES,ACCIPITRIDAE,Black Kite,0.2051017791666667,0.2555856,48.0,resident,313.0,8.0,61.0,5.0,225.0,23.0,940.0,37.0,1539.0,73.0,599.0,P3,0.019368133692880787,940.0,37.0,1539.0
greegr,335,Ardea alba,ダイサギ,Ardea alba,Great Egret,PELECANIFORMES,ARDEIDAE,Great Egret,0.2039064625,0.3163265,48.0,resident,422.0,1.0,19.0,0.0,109.0,1.0,1385.0,5.0,1935.0,7.0,550.0,P3,0.018673422896175445,1385.0,5.0,1935.0
litegr,337,Egretta garzetta,コサギ,Egretta garzetta,Little Egret,PELECANIFORMES,ARDEIDAE,Little Egret,0.1864429416666666,0.2520171,48.0,resident,656.0,2.0,3.0,0.0,33.0,2.0,637.0,6.0,1329.0,10.0,692.0,P3,0.01796469885035703,637.0,6.0,1329.0
buhshr1,425,Lanius bucephalus,モズ,Lanius bucephalus,Bull-headed Shrike,PASSERIFORMES,LANIIDAE,Bull-headed Shrike,0.1374919124999999,0.2959019,48.0,resident,41.0,5.0,1.0,1.0,41.0,41.0,133.0,115.0,216.0,162.0,83.0,P3,0.017699362779210078,133.0,115.0,216.0
jabwar,464,Horornis diphone,ウグイス,Horornis diphone,Japanese Bush Warbler,PASSERIFORMES,CETTIIDAE,Japanese Bush Warbler,0.1887084812499999,0.3319781,48.0,resident,126.0,104.0,55.0,45.0,566.0,467.0,901.0,482.0,1648.0,1098.0,747.0,P3,0.017655694411343202,901.0,482.0,1648.0
japwag1,586,Motacilla grandis,セグロセキレイ,Motacilla grandis,Japanese Wagtail,PASSERIFORMES,MOTACILLIDAE,Japanese Wagtail,0.1177762083333333,0.1794697,48.0,resident,16.0,12.0,1.0,1.0,4.0,4.0,97.0,95.0,118.0,112.0,21.0,P3,0.01705198695462424,97.0,95.0,118.0
dusthr2,531,Turdus eunomus,ツグミ,Turdus eunomus,Dusky Thrush,PASSERIFORMES,TURDIDAE,Dusky Thrush,0.12468135,0.35146,41.0,winter,102.0,5.0,0.0,0.0,4.0,2.0,71.0,33.0,177.0,40.0,106.0,P3,0.016660130835767024,71.0,33.0,177.0
japcor1,314,Phalacrocorax capillatus,ウミウ,Phalacrocorax capillatus,Japanese Cormorant,SULIFORMES,PHALACROCORACIDAE,Japanese Cormorant,0.02251935,0.0406561,48.0,resident,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,P1,0.0142081279460894,0.0,0.0,1.0
vartit1,442,Sittiparus varius,ヤマガラ,Sittiparus varius,Varied Tit,PASSERIFORMES,PARIDAE,Varied Tit,0.11820464375,0.1479041,48.0,resident,98.0,52.0,4.0,4.0,51.0,48.0,237.0,218.0,390.0,322.0,153.0,P3,0.01372125653549977,237.0,218.0,390.0
barswa,461,Hirundo rustica,ツバメ,Hirundo rustica,Barn Swallow,PASSERIFORMES,HIRUNDINIDAE,Barn Swallow,0.1771617375,0.4079656,48.0,summer,2112.0,0.0,412.0,1.0,2009.0,23.0,4069.0,51.0,8602.0,75.0,4533.0,P3,0.013554017238058956,4069.0,51.0,8602.0
bkfbun2,633,Emberiza personata,アオジ,Emberiza personata,Masked Bunting,PASSERIFORMES,EMBERIZIDAE,Masked Bunting,0.10041285,0.1902433,48.0,resident,0.0,0.0,0.0,0.0,8.0,4.0,167.0,167.0,175.0,171.0,8.0,P3,0.013446458751277238,167.0,167.0,175.0
eurcoo,101,Fulica atra,オオバン,Fulica atra,Eurasian Coot,GRUIFORMES,RALLIDAE,Eurasian Coot,0.1619053083333333,0.343245,48.0,winter,2742.0,1.0,241.0,1.0,850.0,3.0,1804.0,14.0,5637.0,19.0,3833.0,P3,0.012992729540184178,1804.0,14.0,5637.0
meabun1,618,Emberiza cioides,ホオジロ,Emberiza cioides,Meadow Bunting,PASSERIFORMES,EMBERIZIDAE,Meadow Bunting,0.1151743333333333,0.1727184,48.0,resident,133.0,41.0,5.0,4.0,64.0,55.0,371.0,297.0,573.0,397.0,202.0,P3,0.012563442781946302,371.0,297.0,573.0
litgre1,117,Tachybaptus ruficollis,カイツブリ,Tachybaptus ruficollis,Little Grebe,PODICIPEDIFORMES,PODICIPEDIDAE,Little Grebe,0.1483314604166666,0.2256082,48.0,resident,1949.0,1.0,75.0,2.0,320.0,9.0,1405.0,38.0,3749.0,50.0,2344.0,P3,0.01249311180671052,1405.0,38.0,3749.0
mallar3,33,Anas platyrhynchos,マガモ,Anas platyrhynchos,Mallard,ANSERIFORMES,ANATIDAE,Mallard,0.15625033125,0.3006895,48.0,resident,1480.0,1.0,327.0,0.0,1411.0,0.0,4166.0,30.0,7384.0,31.0,3218.0,P3,0.01215901236158658,4166.0,30.0,7384.0
gnwtea,35,Anas crecca,コガモ,Anas crecca,Green-winged Teal,ANSERIFORMES,ANATIDAE,Green-winged Teal,0.1443662083333333,0.2832957,48.0,winter,1239.0,1.0,58.0,0.0,302.0,3.0,2192.0,16.0,3791.0,20.0,1599.0,P3,0.012142712323200052,2192.0,16.0,3791.0
eurwig,29,Mareca penelope,ヒドリガモ,Mareca penelope,Eurasian Wigeon,ANSERIFORMES,ANATIDAE,Eurasian Wigeon,0.1201405270833333,0.2510273,48.0,winter,996.0,8.0,26.0,1.0,138.0,6.0,671.0,24.0,1831.0,39.0,1160.0,P3,0.011083083583882481,671.0,24.0,1831.0
comkin1,384,Alcedo atthis,カワセミ,Alcedo atthis,Common Kingfisher,CORACIIFORMES,ALCEDINIDAE,Common Kingfisher,0.1264644312499999,0.1826988,48.0,resident,1109.0,4.0,60.0,1.0,488.0,2.0,1430.0,22.0,3087.0,29.0,1657.0,P3,0.01090876033969474,1430.0,22.0,3087.0
bktgul,221,Larus crassirostris,ウミネコ,Larus crassirostris,Black-tailed Gull,CHARADRIIFORMES,LARIDAE,Black-tailed Gull,0.0730928875,0.1347754,48.0,resident,30.0,9.0,1.0,1.0,21.0,21.0,57.0,39.0,109.0,70.0,52.0,P3,0.010757788298181515,57.0,39.0,109.0
daured1,561,Phoenicurus auroreus,ジョウビタキ,Phoenicurus auroreus,Daurian Redstart,PASSERIFORMES,MUSCICAPIDAE,Daurian Redstart,0.0964737416666666,0.2631505,48.0,winter,191.0,0.0,4.0,2.0,100.0,56.0,360.0,106.0,655.0,164.0,295.0,P3,0.010307299468314433,360.0,106.0,655.0
burthr,564,Monticola solitarius,イソヒヨドリ,Monticola solitarius,Blue Rock-Thrush,PASSERIFORMES,MUSCICAPIDAE,Blue Rock-Thrush,0.0867343770833333,0.1629945,48.0,resident,270.0,10.0,15.0,3.0,82.0,22.0,590.0,91.0,957.0,126.0,367.0,P3,0.008756283529295032,590.0,91.0,957.0
tufduc,43,Aythya fuligula,キンクロハジロ,Aythya fuligula,Tufted Duck,ANSERIFORMES,ANATIDAE,Tufted Duck,0.0763023208333333,0.1696833,48.0,winter,288.0,1.0,4.0,0.0,29.0,0.0,145.0,1.0,466.0,2.0,321.0,P3,0.008601937264752833,145.0,1.0,466.0
